source_id,source_name,iso3_country,lat,lon,capacity,capacity_units,capacity_factor
1053116,Benton County,USA,34.81942915408425,-89.18879314647813,57884.263,m^2,53.8857175913253
1053201,Benton County,USA,38.296962198639406,-93.288049813394,76012.251,m^2,51.45854136065513
1053920,Benton County,USA,44.493482293617234,-123.4285805913123,1020796.891,m^2,40.95477001212771
1054141,Benton County,USA,36.06970556706041,-88.06918684116332,88641.967,m^2,53.316170375596464
1054665,Benton County,USA,46.2407673351251,-119.51127484368617,3587444.031,m^2,46.2813916867488
1052946,Benzie County,USA,44.63807901854656,-86.015916633924,45055.904,m^2,44.7642846540156
1053484,Bergen County,USA,40.95936294539847,-74.07489356149448,11661115.49,m^2,50.68138388208347
1054034,Berkeley County,USA,33.194853329350885,-79.9510675725938,3795282.933,m^2,54.3844184108948
1054703,Berkeley County,USA,39.46508951065561,-78.02751253799865,1403064.708,m^2,50.89336126114006
1053960,Berks County,USA,40.41651547931591,-75.92704727873199,5003053.275,m^2,49.73155506524163
1052924,Berkshire County,USA,42.37088929585136,-73.20736932722022,885049.729,m^2,47.799585602720406
1053504,Bernalillo County,USA,35.05193304156963,-106.6656374075152,11503526.274,m^2,50.72083422165443
1052101,Berrien County,USA,31.276190177527397,-83.22984152863897,179093.709,m^2,54.90524288041854
1052947,Berrien County,USA,41.95522956603259,-86.41277453346518,1559242.433,m^2,48.16214053417824
1053607,Bertie County,USA,36.06608738084005,-76.96811100584678,137554.802,m^2,55.31151014269935
1051778,Bethel Census Area,USA,60.806741492402246,-160.51166135596844,17174.321,m^2,39.65401199849473
1054248,Bexar County,USA,29.448066611686983,-98.5200485202264,25766436.669,m^2,54.29191741611867
1051711,Bibb County,USA,32.99864618340225,-87.1263840507237,328903.823,m^2,55.46570881603891
1052102,Bibb County,USA,32.80680608107285,-83.6978846367563,4822838.139,m^2,55.17901704082049
1052826,Bienville Parish,USA,32.34770838563518,-93.05685238227034,67698.211,m^2,56.11928554507889
1053309,Big Horn County,USA,45.42424227105104,-107.48774267846623,37211.864,m^2,42.11256049952241
1054832,Big Horn County,USA,44.526630425442306,-107.99530633073184,98523.667,m^2,43.18974341464574
1053029,Big Stone County,USA,45.4266707444484,-96.41093947529832,45540.794,m^2,45.67175374676164
1053703,Billings County,USA,47.02443906133932,-103.37782111724424,11577.99,m^2,42.69422231319944
34157100,Billings Urban Area,USA,,,5199258.778,m^2,41.60727079201365
