source_name,start_time,avg(e.emissions_quantity),any_value(lat),any_value(lon),capacity,co2_per_m2
Calvert County,2021-01-01,4563.646,38.53666521045519,-76.52495478047057,705707.719,0.0065
Haywood County,2021-01-01,1251.564,35.55626263394911,-82.98207742652627,297876.307,0.0042
Lake Superior,2021-01-01,351.287,46.96450585073217,-90.73766572970747,134994.167,0.0026
Spartanburg County,2021-01-01,21336.067,34.932522955277335,-81.99037269563274,8338956.998,0.0026
Vigo County,2021-01-01,6922.453,39.43185525427697,-87.3885361436378,2691728.413,0.0026
Peach County,2021-01-01,1487.195,32.568632719342006,-83.82725176012693,351267.386,0.0042
Tulsa County,2021-01-01,42231.254,36.12144022079538,-95.94271258915346,15968397.114,0.0026
Graham County,2021-01-01,816.563,32.933185017649315,-109.8870177140794,1153237.714,0.0007
Caldwell County,2021-01-01,624.479,29.83688489629775,-97.62192814857563,144467.577,0.0043
Montgomery County,2021-01-01,20747.065,30.301096820373996,-95.50535869596602,4816838.622,0.0043
Travis County,2021-01-01,64133.785,30.33334360906914,-97.7803385895778,14976689.109,0.0043
Boone County,2021-01-01,14999.883,38.96913995822297,-84.72683407772493,6057788.335,0.0025
Coal County,2021-01-01,178.078,34.5877440651598,-96.30009868779172,71321.159,0.0025
Clackamas County,2021-01-01,14477.092,45.18842012649025,-122.2203975448387,5706771.163,0.0025
Poweshiek County,2021-01-01,687.693,41.68624016818033,-92.5326351133674,274753.528,0.0025
Brown County,2021-01-01,1444.957,31.77612509214048,-99.00001716220169,569668.506,0.0025
Livingston County,2021-01-01,685.581,39.78210723523451,-93.55153386260304,443371.519,0.0015
Albemarle County,2021-01-01,2768.287,38.024053875860545,-78.556223301284,649877.379,0.0043
Wyoming County,2021-01-01,515.038,42.70231528546827,-78.2230465667786,83557.292,0.0062
Foster County,2021-01-01,135.484,47.457304935592965,-98.88349386949068,54162.294,0.0025
Sherman County,2021-01-01,49.987,41.220020210584664,-98.97503137604032,19617.804,0.0025
Irion County,2021-01-01,3.832,31.303583808511473,-100.9806650306042,21266.628,0.0002
Lincoln County,2021-01-01,1029.715,44.64675902141352,-123.9710650531947,415370.879,0.0025
Benton County,2021-01-01,213.445,40.60784718807384,-87.31063544608392,86598.124,0.0025
Tucker County,2021-01-01,117.53,39.11363487048748,-79.56377451159413,27636.707,0.0043
Jo Daviess County,2021-01-01,807.108,42.367112111192505,-90.21197767106118,318994.203,0.0025
Wyandot County,2021-01-01,1177.351,40.842544578236264,-83.30400928437722,464091.125,0.0025
Cameron County,2021-01-01,8843.763,26.1672199881528,-97.37837827067531,3474391.873,0.0025
Casey County,2021-01-01,384.704,37.32219771249895,-84.9283945126012,157004.028,0.0025
Elk County,2021-01-01,9.275,37.45361554718223,-96.2443652313738,3755.918,0.0025
Bamberg County,2021-01-01,145.433,33.21642206447672,-81.05349124754724,23498.597,0.0062
Ellsworth County,2021-01-01,214.897,38.69699073133998,-98.20548343464148,85281.811,0.0025
Hardeman County,2021-01-01,74.834,34.290125393956046,-99.74846644309407,29764.347,0.0025
Lake Hurron,2021-01-01,458.447,44.75318293844734,-83.13506425791282,180473.291,0.0025
Otero County,2021-01-01,318.671,37.90266190100245,-103.71605190846412,127507.747,0.0025
Morrow County,2021-01-01,335.875,45.41961718211693,-119.5857781099228,417815.433,0.0008
Deuel County,2021-01-01,162.041,44.7610148350276,-96.66961372363151,63553.2,0.0025
Cheyenne County,2021-01-01,67.771,39.786432093478695,-101.72947798135334,38586.278,0.0018
Lemhi County,2021-01-01,66.909,44.943139854819314,-113.93272074766011,26832.072,0.0025
Wayne County,2021-01-01,267.477,38.430027295926,-88.42636617143634,108431.785,0.0025
Sutton County,2021-01-01,93.986,30.49722378034495,-100.53607242657968,38176.263,0.0025
Jackson County,2021-01-01,7845.622,42.43152521109754,-122.728157438377,3199615.433,0.0025
Burke County,2021-01-01,774.465,33.06104425644465,-82.0002579017442,309585.868,0.0025
Camp County,2021-01-01,392.947,32.97597083288656,-94.98135854370854,157089.736,0.0025
Giles County,2021-01-01,812.967,35.202502972859804,-87.03475464635399,322637.24,0.0025
