source_name,any_value(e.start_time),iso3_country,sum(e.emissions_quantity),capacity,co2_per_m2
Delaware County,2021-01-01,USA,40511.76678000001,187096.919,0.2165
Davie County,2021-01-01,USA,83431.15056000001,385542.618,0.2164
Alger County,2021-01-01,USA,7863.874250000002,36356.841,0.2163
Habersham County,2021-01-01,USA,47708.464429999985,220518.309,0.2163
Polk County,2021-01-01,USA,78563.63736000001,363253.429,0.2163
Powell County,2021-01-01,USA,6635.55989,30672.704,0.2163
Wise County,2021-01-01,USA,34402.694030000006,159222.181,0.2161
Island County,2021-01-01,USA,69643.81070999999,322465.037,0.216
District of Columbia District,2021-01-01,USA,1078287.5355600002,4998285.624,0.2157
Chenango County,2021-01-01,USA,25487.863509999996,118277.142,0.2155
Hillsborough County,2021-01-01,USA,653642.2743500001,3034976.559,0.2154
McNairy County,2021-01-01,USA,25394.488819999995,117880.327,0.2154
New London County,2021-01-01,USA,330242.03569999995,1534378.074,0.2152
Johnson County,2021-01-01,USA,18143.9715,84302.632,0.2152
Mineral County,2021-01-01,USA,40724.92145,189287.099,0.2151
Schenectady County,2021-01-01,USA,302431.34407000005,1406554.077,0.215
Hoke County,2021-01-01,USA,33492.89064,155853.13,0.2149
Grant County,2021-01-01,USA,19661.44032,91493.254,0.2149
Orleans County,2021-01-01,USA,31228.779029999998,145292.916,0.2149
Spotsylvania County,2021-01-01,USA,216271.45024000003,1007755.949,0.2146
Rosebud County,2021-01-01,USA,11336.034290000001,52879.449,0.2144
Caswell County,2021-01-01,USA,8500.482829999999,39665.076,0.2143
Norman County,2021-01-01,USA,5549.669720000002,25911.928,0.2142
Reynolds County,2021-01-01,USA,1851.3910499999995,8643.735,0.2142
Ontonagon County,2021-01-01,USA,2670.9427299999998,12473.061,0.2141
Teller County,2021-01-01,USA,22341.7583,104558.454,0.2137
Chouteau County,2021-01-01,USA,3064.7117399999997,14368.725,0.2133
Wayne County,2021-01-01,USA,3888.1506999999997,18254.828,0.213
Tattnall County,2021-01-01,USA,13400.031860000005,62982.715,0.2128
Pierce County,2021-01-01,USA,62127.59043999999,292020.594,0.2128
Carlton County,2021-01-01,USA,76493.42599999999,359875.512,0.2126
Ontario County,2021-01-01,USA,178698.80072000003,841113.437,0.2125
Manassas Independent City,2021-01-01,USA,161263.57278,760645.028,0.212
Madison County,2021-01-01,USA,7044.273969999999,33248.094,0.2119
Forest County,2021-01-01,USA,12046.70072,56837.723,0.2119
Grundy County,2021-01-01,USA,7790.927579999999,36785.209,0.2118
Marquette County,2021-01-01,USA,11058.006500000003,52239.382,0.2117
Taylor County,2021-01-01,USA,3445.145450000001,16282.611,0.2116
Claiborne County,2021-01-01,USA,7456.43739,35260.052,0.2115
New York Urban Area,2021-01-01,USA,35963864.25004,170032906.187,0.2115
Harrison County,2021-01-01,USA,16601.74857,78614.155,0.2112
Garrett County,2021-01-01,USA,24451.261120000006,115936.886,0.2109
Dawson County,2021-01-01,USA,15486.724819999998,73470.481,0.2108
Kent County,2021-01-01,USA,22442.885729999998,106474.04,0.2108
La Salle Parish,2021-01-01,USA,5051.377270000002,23969.551,0.2107
Falls Church Independent City,2021-01-01,USA,28896.062020000005,137429.799,0.2103
Del Norte County,2021-01-01,USA,43104.26738,205419.632,0.2098
Portage County,2021-01-01,USA,310511.0690000001,1482698.234,0.2094
Chittenden County,2021-01-01,USA,365424.19107999996,1745457.06,0.2094
Lanier County,2021-01-01,USA,2382.6110399999993,11382.815,0.2093
Mason County,2021-01-01,USA,49617.24154000001,237175.129,0.2092
Fulton County,2021-01-01,USA,2771.598790000001,13250.84,0.2092
Essex County,2021-01-01,USA,1193323.4254900003,5715791.998,0.2088
Scott County,2021-01-01,USA,24043.762799999993,115209.518,0.2087
Ferry County,2021-01-01,USA,6325.522269999997,30323.862,0.2086
Livingston Parish,2021-01-01,USA,109440.46764000003,524840.496,0.2085
Cherokee County,2021-01-01,USA,139937.69221999997,671110.948,0.2085
Prince William County,2021-01-01,USA,809005.9761399999,3882519.115,0.2084
Queen Anne's County,2021-01-01,USA,51394.945239999994,246969.842,0.2081
Estill County,2021-01-01,USA,2284.2864,11001.909,0.2076
Lunenburg County,2021-01-01,USA,6290.79885,30315.514,0.2075
Shannon County,2021-01-01,USA,268.2569600000001,1293.6,0.2074
Pitkin County,2021-01-01,USA,5319.231890000001,25671.278,0.2072
Sequatchie County,2021-01-01,USA,14607.704429999996,70517.175,0.2072
Barry County,2021-01-01,USA,54071.07762,261096.499,0.2071
Seneca County,2021-01-01,USA,39663.67769999999,191642.621,0.207
Macon County,2021-01-01,USA,23285.132039999997,112505.622,0.207
Avery County,2021-01-01,USA,6952.20971,33624.305,0.2068
Cass County,2021-01-01,USA,65318.04316999999,316248.196,0.2065
Overton County,2021-01-01,USA,19056.62251,92417.035,0.2062
Fentress County,2021-01-01,USA,11122.752730000002,53978.25,0.2061
Clearwater County,2021-01-01,USA,5289.381759999999,25673.961,0.206
Manchester Urban Area,2021-01-01,USA,540506.1032499999,2625313.304,0.2059
Jefferson County,2021-01-01,USA,125509.29781000002,609982.101,0.2058
Caroline County,2021-01-01,USA,44601.15599000001,216757.225,0.2058
Rockland County,2021-01-01,USA,337417.0049200001,1640291.464,0.2057
DeKalb County,2021-01-01,USA,14977.448260000001,72819.985,0.2057
Copiah County,2021-01-01,USA,19969.73249000001,97131.402,0.2056
Roosevelt County,2021-01-01,USA,6421.926390000001,31227.83,0.2056
Greene County,2021-01-01,USA,6424.656069999998,31329.0,0.2051
Middlesex County,2021-01-01,USA,257168.99870999999,1253845.17,0.2051
Bollinger County,2021-01-01,USA,2313.1854000000003,11284.591,0.205
Allegany County,2021-01-01,USA,144224.39999,703746.422,0.2049
Wolfe County,2021-01-01,USA,793.70563,3874.639,0.2048
Beltrami County,2021-01-01,USA,99527.53630999998,486059.002,0.2048
Buckingham County,2021-01-01,USA,4763.469770000001,23275.798,0.2047
Clare County,2021-01-01,USA,36259.59549999999,177182.786,0.2046
Newton County,2021-01-01,USA,305.57524,1493.767,0.2046
Owyhee County,2021-01-01,USA,4342.50519,21246.71,0.2044
Pend Oreille County,2021-01-01,USA,9527.111099999996,46729.462,0.2039
Pendleton County,2021-01-01,USA,32657.168460000004,160185.617,0.2039
San Jacinto County,2021-01-01,USA,5765.3157,28296.585,0.2037
Penobscot County,2021-01-01,USA,351901.87739000004,1728631.531,0.2036
Mathews County,2021-01-01,USA,2619.89931,12881.582,0.2034
Benton County,2021-01-01,USA,124468.90925,611846.399,0.2034
